"Sample_ID","Species_Name","Scientific_Name","PacFIN_Species_Code","RecFIN_Species_Code","Year","Project_ID","Capture_Date","CRFS_District","Port","Vessel","CDFW_Vessel_Number","Institution","Fork_Length_mm","Sex","Maturity","Comments"
"202408-1012-04990-GSPT-491","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-28,"District 1 - South","Marina Del Rey","Betty-O","04990","SIO",181,"M","0","MISSIDENTIFIED AS A STARRY ROCKFISH"
"202310-1012-73873-GSPT-232","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-02,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",305,"M","1",NA
"202308-1012-73873-GSPT-152","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-08-15,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",333,"F","1","stage = 5"
"202410-1012-12758-GSPT-640","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-27,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",362,"M","1",NA
"202412-1012-16699-GSPT-268","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-06,"District 1 - South","Long Beach","Eldorado","16699","NMFS",310,"F","1","STAGE 7"
"202410-1012-06810-GSPT-731","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-04,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",274,"M","1",NA
"202310-1012-73873-GSPT-233","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-02,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",342,"M","1",NA
"202410-1012-06810-GSPT-738","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-19,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",238,"F","1",NA
"202410-1012-33680-GSPT-297","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-18,"District 3 - Central","Morro Bay","Fiesta","33680","CP",256,"M","1",NA
"202306-1012-03233-GSPT-60","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-23,"District 1 - South","San Diego","Premier","03233","SIO",302,"F","1",NA
